time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-18 00:00:00+00:00,20,8,309,65
2024-02-19 00:00:00+00:00,21,11,423,97
2024-02-20 00:00:00+00:00,31,14,827,114
2024-02-21 00:00:00+00:00,77,15,729,122
2024-02-22 00:00:00+00:00,73,9,878,130
2024-02-23 00:00:00+00:00,54,13,757,96
2024-02-24 00:00:00+00:00,205,11,164,54
2024-02-25 00:00:00+00:00,6,6,432,52
2024-02-26 00:00:00+00:00,9,6,414,89
2024-02-27 00:00:00+00:00,35,7,686,79
2024-02-28 00:00:00+00:00,33,11,739,96
2024-02-29 00:00:00+00:00,16,8,380,89
2024-03-01 00:00:00+00:00,42,12,508,87
2024-03-02 00:00:00+00:00,12,12,216,58
